Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2016,Tot_Dsg_Unts_2016,Tot_Clms_2016,Avg_Spnd_Per_Dsg_Unt_Wghtd_2016,Avg_Spnd_Per_Clm_2016,Outlier_Flag_2016,Tot_Spndng_2017,Tot_Dsg_Unts_2017,Tot_Clms_2017,Avg_Spnd_Per_Dsg_Unt_Wghtd_2017,Avg_Spnd_Per_Clm_2017,Outlier_Flag_2017,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Avg_Spnd_Per_Dsg_Unt_Wghtd_2018,Avg_Spnd_Per_Clm_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Outlier_Flag_2020,Chg_Avg_Spnd_Per_Dsg_Unt_19_20,CAGR_Avg_Spnd_Per_Dsg_Unt_16_20
Abacavir,"Abacavir Sulfate",1,Mylan,"$1,281,823.56","283,052","4,893",$4.53,$261.97,0,"$462,865.42","123,150","2,202",$3.76,$210.20,0,"$299,723.28","132,594","2,341",$2.26,$128.03,0,"$439,626.51","$172,850.00","3,025",$2.54,$145.33,0,"$256,538.90","119,692","2,008",$2.14,$127.76,0,-15.73%,-17.06%
Abacavir,"Abacavir Sulfate",1,"Rising Pharm",,,,,,,,,,,,,"$98,280.20","202,972",386,$0.48,$254.61,0,"$216,745.06","$426,677.00",864,$0.51,$250.86,0,"$191,157.37","398,112",808,$0.48,$236.58,0,-5.48%,-0.42%
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",6,Overall,"$9,569,547.34","283,169","9,466",$33.79,"$1,010.94",0,"$26,746,254.88","1,388,797","46,486",$19.26,$575.36,0,"$7,474,908.86","1,030,583","34,435",$7.25,$217.07,0,"$4,677,292.27","$724,051.00","24,240",$6.46,$192.96,0,"$3,063,316.88","511,782","16,680",$5.99,$183.65,0,-7.30%,-35.12%
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",1,"Burel Pharmaceu",,,,,,,,,,,,,,,,,,,"$692,329.25","$90,627.00","3,003",$7.64,$230.55,0,"$421,133.77","56,410","1,797",$7.47,$234.35,0,-2.27%,-2.27%
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",1,"Cipla USA, Inc.",,,,,,,"$1,691,277.66","157,979","5,291",$10.71,$319.65,0,"$1,857,202.31","288,986","9,720",$6.43,$191.07,0,"$1,306,793.26","$220,969.00","7,395",$5.91,$176.71,0,"$484,891.35","83,583","2,736",$5.80,$177.23,0,-1.90%,-18.47%
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",1,"Lupin Pharmaceu",,,,,,,"$2,823,799.32","220,841","7,437",$12.79,$379.70,1,"$1,577,184.26","234,914","7,919",$6.71,$199.16,0,"$970,747.40","$147,989.00","5,056",$6.56,$192.00,0,"$834,751.20","134,131","4,563",$6.22,$182.94,0,-5.13%,-21.34%
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",1,"Prasco Labs","$4,383,044.79","129,341","4,321",$33.89,"$1,014.36",0,"$9,956,114.96","435,177","14,578",$22.88,$682.95,0,"$1,679,421.93","203,197","6,780",$8.26,$247.70,1,"$303,624.72","$38,988.00","1,308",$7.79,$232.13,0,"$55,050.20","11,191",364,$4.92,$151.24,0,-36.83%,-38.27%
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",1,"Teva USA","$5,186,502.55","153,828","5,145",$33.72,"$1,008.07",0,"$10,850,533.60","444,494","14,857",$24.41,$730.33,0,"$872,735.30","110,141","3,648",$7.92,$239.24,0,"$596,460.19","$97,524.00","3,263",$6.12,$182.80,0,"$775,718.23","136,099","4,332",$5.70,$179.07,0,-6.81%,-35.88%
Abacavir-Lamivudine,"Abacavir Sulfate/Lamivudine",1,"Aurobindo Pharm",,,,,,,"$1,424,529.34","130,306","4,323",$10.93,$329.52,0,"$1,488,365.06","193,345","6,368",$7.70,$233.73,0,"$807,337.45","$127,954.00","4,215",$6.31,$191.54,0,"$491,772.13","90,368","2,888",$5.44,$170.28,0,-13.75%,-20.75%
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,Overall,"$6,253,710.61","284,214","4,804",$22.00,"$1,301.77",0,"$3,931,094.77","185,406","3,166",$21.20,"$1,241.66",0,"$2,087,894.39","114,921","1,978",$18.17,"$1,055.56",1,"$1,325,909.56","$61,894.00","1,089",$21.42,"$1,217.55",0,"$559,551.07","27,066",480,$20.67,"$1,165.73",0,17.91%,-1.55%
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,"Lupin Pharmaceu","$6,253,710.61","284,214","4,804",$22.00,"$1,301.77",0,"$3,931,094.77","185,406","3,166",$21.20,"$1,241.66",0,"$2,087,894.39","114,921","1,978",$18.17,"$1,055.56",1,"$1,325,909.56","$61,894.00","1,089",$21.42,"$1,217.55",0,"$559,551.07","27,066",480,$20.67,"$1,165.73",0,-3.49%,-1.55%
"Abdek Multivitamin","Pediatric Multivit 152/D3/K",1,Overall,,,,,,,$455.54,"1,360",23,$0.33,$19.81,1,"$2,030.03","14,600",240,$0.14,$8.46,0,"$2,132.23","$9,230.00",158,$0.23,$13.50,1,$755.62,"2,830",48,$0.27,$15.74,1,66.14%,-7.28%
"Abdek Multivitamin","Pediatric Multivit 152/D3/K",1,"H2 Pharma LLC",,,,,,,$455.54,"1,360",23,$0.33,$19.81,1,"$2,030.03","14,600",240,$0.14,$8.46,0,"$2,132.23","$9,230.00",158,$0.23,$13.50,1,$755.62,"2,830",48,$0.27,$15.74,1,15.58%,-7.28%
"Abdek Multivitamin","Pediatric Multivit No.153/D3/K",1,Overall,,,,,,,,,,,,,"$2,360.46","23,655",749,$0.10,$3.15,1,"$5,201.40","$19,650.00",618,$0.26,$8.42,1,$72.91,"1,980",64,$0.04,$1.14,1,165.27%,-39.25%
"Abdek Multivitamin","Pediatric Multivit No.153/D3/K",1,"H2 Pharma LLC",,,,,,,,,,,,,"$2,360.46","23,655",749,$0.10,$3.15,1,"$5,201.40","$19,650.00",618,$0.26,$8.42,1,$72.91,"1,980",64,$0.04,$1.14,1,-86.09%,-39.25%
Abelcet,"Amphotericin B Lipid Complex",1,Overall,,,,,,,,,,,,,"$403,022.36","57,884",444,$6.96,$907.71,0,"$229,060.37","$49,937.00",444,$4.59,$515.90,0,"$147,391.21","29,948",279,$4.92,$528.28,0,7.29%,-15.93%
Abelcet,"Amphotericin B Lipid Complex",1,"Leadiant Biosci",,,,,,,,,,,,,"$403,022.36","57,884",444,$6.96,$907.71,0,"$229,060.37","$49,937.00",444,$4.59,$515.90,0,"$147,391.21","29,948",279,$4.92,$528.28,0,7.29%,-15.93%
"Abilify Maintena",Aripiprazole,1,Overall,"$198,860,536.74","118,977.724","118,352","$1,672.24","$1,680.25",0,"$274,812,404.88","152,756.811","150,808","$1,797.63","$1,822.27",0,"$363,623,771.15","189,907.942","190,192","$1,915.11","$1,911.88",0,"$461,841,469.52","$223,946.29","223,248","$2,068.34","$2,068.74",0,"$510,547,407.59","245,194.012","245,294","$2,082.65","$2,081.37",0,8.00%,5.64%
"Abilify Maintena",Aripiprazole,1,"Otsuka America","$198,860,536.74","118,977.724","118,352","$1,672.24","$1,680.25",0,"$274,812,404.88","152,756.811","150,808","$1,797.63","$1,822.27",0,"$363,623,771.15","189,907.942","190,192","$1,915.11","$1,911.88",0,"$461,841,469.52","$223,946.29","223,248","$2,068.34","$2,068.74",0,"$510,547,407.59","245,194.012","245,294","$2,082.65","$2,081.37",0,0.69%,5.64%
"Abilify Mycite",Aripiprazole,1,Overall,,,,,,,,,,,,,,,,,,,"$22,893.15",$420.00,14,$54.51,"$1,635.23",1,"$123,024.06","2,250",74,$54.68,"$1,662.49",1,0.31%,0.31%
"Abilify Mycite",Aripiprazole,1,"Otsuka America",,,,,,,,,,,,,,,,,,,"$22,893.15",$420.00,14,$54.51,"$1,635.23",1,"$123,024.06","2,250",74,$54.68,"$1,662.49",1,0.31%,0.31%
Abilify*,Aripiprazole,1,Overall,"$1,075,465,858.80","33,937,399.214","1,109,370",$31.89,$969.44,0,"$581,732,559.12","18,602,107.097","579,250",$31.37,"$1,004.29",0,"$454,569,591.60","14,501,884.292","438,931",$31.47,"$1,035.63",0,"$221,784,611.22","$7,792,510.22","232,715",$28.59,$953.03,1,"$19,245,740.25","813,508.571","22,393",$23.80,$859.45,0,-9.14%,-7.05%
Abilify*,Aripiprazole,1,"Otsuka America*","$1,075,465,858.80","33,937,399.214","1,109,370",$31.89,$969.44,0,"$581,732,559.12","18,602,107.097","579,250",$31.37,"$1,004.29",0,"$454,569,591.60","14,501,884.292","438,931",$31.47,"$1,035.63",0,"$221,784,611.22","$7,792,510.22","232,715",$28.59,$953.03,1,"$19,245,740.25","813,508.571","22,393",$23.80,$859.45,0,-16.77%,-7.05%
"Abiraterone Acetate","Abiraterone Acetate",11,Overall,,,,,,,,,,,,,"$1,315,063.99","22,722",205,$57.87,"$6,414.95",1,"$28,213,789.98","$695,281.00","6,436",$40.59,"$4,383.75",0,"$22,498,564.55","860,331","7,981",$26.32,"$2,819.02",0,-29.87%,-32.56%
"Abiraterone Acetate","Abiraterone Acetate",1,"Rising Pharm",,,,,,,,,,,,,,,,,,,,,,,,,"$1,117,529.64","50,976",454,$21.92,"$2,461.52",0,,0.00%
"Abiraterone Acetate","Abiraterone Acetate",1,Mylan,,,,,,,,,,,,,"$412,644.72","8,836",80,$46.70,"$5,158.06",1,"$6,239,698.89","$176,486.00","1,650",$35.36,"$3,781.64",0,"$2,391,526.00","77,266",732,$31.27,"$3,267.11",0,-11.55%,-18.17%
"Abiraterone Acetate","Abiraterone Acetate",1,"Teva USA",,,,,,,,,,,,,,,,,,,"$316,182.55","$8,512.00",73,$37.15,"$4,331.27",1,"$189,341.11","6,480",57,$29.22,"$3,321.77",1,-21.34%,-21.34%
"Abiraterone Acetate","Abiraterone Acetate",1,"Wockhardt USA L",,,,,,,,,,,,,,,,,,,"$228,139.71","$10,920.00",96,$20.89,"$2,376.46",0,"$924,509.55","36,142",320,$25.58,"$2,889.09",0,22.44%,22.44%
"Abiraterone Acetate","Abiraterone Acetate",1,"Celltrion USA,",,,,,,,,,,,,,,,,,,,,,,,,,"$41,144.44","15,052",134,$2.73,$307.05,0,,0.00%
"Abiraterone Acetate","Abiraterone Acetate",1,"Dr.Reddy'S Lab",,,,,,,,,,,,,,,,,,,,,,,,,"$51,416.58","1,170",12,$43.95,"$4,284.72",1,,0.00%
"Abiraterone Acetate","Abiraterone Acetate",1,"Apotex Corp",,,,,,,,,,,,,"$576,759.88","9,180",82,$62.83,"$7,033.66",1,"$10,096,434.83","$220,315.00","1,953",$45.83,"$5,169.71",0,"$4,439,488.85","146,402","1,304",$30.32,"$3,404.52",0,-33.83%,-30.53%
"Abiraterone Acetate","Abiraterone Acetate",1,"Amneal Pharmace",,,,,,,,,,,,,,,,,,,"$938,842.77","$23,170.00",204,$40.52,"$4,602.17",1,"$955,539.76","68,302",622,$13.99,"$1,536.24",1,-65.47%,-65.47%
"Abiraterone Acetate","Abiraterone Acetate",1,"Novadoz Pharmac",,,,,,,,,,,,,,,,,,,"$467,638.88","$18,738.00",173,$24.96,"$2,703.11",0,"$8,227,957.68","310,458","2,840",$26.50,"$2,897.17",0,6.19%,6.19%
"Abiraterone Acetate","Abiraterone Acetate",1,West-Ward/Hikma,,,,,,,,,,,,,,,,,,,"$100,108.13","$10,470.00",91,$9.56,"$1,100.09",1,"$27,998.97","18,942",172,$1.48,$162.78,1,-84.54%,-84.54%
"Abiraterone Acetate","Abiraterone Acetate",1,"Patriot Pharmac",,,,,,,,,,,,,"$325,659.39","4,706",43,$69.20,"$7,573.47",1,"$9,826,744.22","$226,670.00","2,196",$43.35,"$4,474.84",0,"$4,132,111.97","129,141","1,334",$32.00,"$3,097.54",0,-26.19%,-32.00%
Abraxane,"Paclitaxel Protein-Bound",1,Overall,,,,,,,,,,,,,,,,,,,,,,,,,"$61,663,001.20","55,926.006","29,136","$1,102.58","$2,116.39",1,,0.00%
Abraxane,"Paclitaxel Protein-Bound",1,Celgene/BMS,,,,,,,,,,,,,,,,,,,,,,,,,"$61,663,001.20","55,926.006","29,136","$1,102.58","$2,116.39",1,,0.00%
Absorica,Isotretinoin,1,Overall,,,,,,,,,,,,,,,,,,,"$7,638,474.80","$213,296.00","4,145",$35.77,"$1,842.82",0,"$7,940,141.39","222,190","4,181",$35.68,"$1,899.10",0,-0.24%,-0.24%
Absorica,Isotretinoin,1,"Sun Pharmaceuti",,,,,,,,,,,,,,,,,,,"$7,638,474.80","$213,296.00","4,145",$35.77,"$1,842.82",0,"$7,940,141.39","222,190","4,181",$35.68,"$1,899.10",0,-0.24%,-0.24%
"Absorica Ld","Isotretinoin, Micronized",1,Overall,,,,,,,,,,,,,,,,,,,,,,,,,"$988,533.11","26,130",568,$37.81,"$1,740.38",0,,0.00%
"Absorica Ld","Isotretinoin, Micronized",1,"Sun Pharmaceuti",,,,,,,,,,,,,,,,,,,,,,,,,"$988,533.11","26,130",568,$37.81,"$1,740.38",0,,0.00%
"Acamprosate Calcium","Acamprosate Calcium",6,Overall,"$5,576,105.77","5,624,471","38,134",$0.99,$146.22,0,"$5,821,586.02","6,279,390","43,388",$0.93,$134.18,0,"$5,084,301.94","6,833,668","47,278",$0.74,$107.54,0,"$6,288,353.48","$8,181,172.00","56,897",$0.77,$110.52,0,"$7,790,875.81","10,606,981","72,484",$0.73,$107.48,0,3.30%,-7.21%
"Acamprosate Calcium","Acamprosate Calcium",1,Mylan,"$1,142,770.61","1,258,403","8,620",$0.91,$132.57,0,"$1,051,191.92","1,196,707","8,376",$0.88,$125.50,0,"$457,951.79","624,081","4,257",$0.73,$107.58,0,"$172,290.09","$229,867.00","1,509",$0.75,$114.18,0,"$761,207.03","1,102,618","7,266",$0.69,$104.76,0,-7.89%,-6.62%
"Acamprosate Calcium","Acamprosate Calcium",1,Ahp,"$6,619.67","6,445",54,$1.03,$122.59,0,"$3,864.13","4,308",38,$0.90,$101.69,1,"$2,361.59","2,853",35,$0.83,$67.47,1,"$1,842.59","$2,729.00",27,$0.68,$68.24,1,"$2,279.57","3,077",39,$0.74,$58.45,1,9.72%,-7.84%
"Acamprosate Calcium","Acamprosate Calcium",1,"Glenmark Pharma","$3,731,287.57","3,723,262","25,296",$1.00,$147.51,0,"$3,510,722.15","3,768,359","26,106",$0.93,$134.48,0,"$2,965,925.44","3,964,343","27,574",$0.75,$107.56,0,"$3,942,363.98","$5,152,611.00","36,025",$0.77,$109.43,0,"$4,977,411.37","6,828,511","47,130",$0.73,$105.61,0,-4.73%,-7.65%
"Acamprosate Calcium","Acamprosate Calcium",1,"Zydus Pharmaceu",,,,,,,"$478,669.09","522,187","3,460",$0.92,$138.34,0,"$1,581,189.31","2,137,769","14,569",$0.74,$108.53,0,"$2,114,138.36","$2,722,651.00","18,802",$0.78,$112.44,0,"$2,018,154.43","2,628,453","17,730",$0.77,$113.83,0,-1.12%,-5.74%
"Acamprosate Calcium","Acamprosate Calcium",1,"Teva USA","$658,069.28","596,244","3,871",$1.10,$170.00,0,"$761,093.64","770,204","5,262",$0.99,$144.64,0,"$64,789.76","89,471",687,$0.72,$94.31,0,"$52,145.28","$66,199.00",454,$0.79,$114.86,0,"$22,751.25","32,235",216,$0.71,$105.33,0,-10.40%,-10.58%
"Acamprosate Calcium","Acamprosate Calcium",1,"Mylan Instituti","$37,358.64","40,117",293,$0.93,$127.50,0,"$16,045.09","17,625",146,$0.91,$109.90,0,"$12,084.05","15,151",156,$0.80,$77.46,0,"$5,573.18","$7,115.00",80,$0.78,$69.66,0,"$9,072.16","12,087",103,$0.75,$88.08,0,-4.18%,-5.25%
Acanya,"Clindamycin Phos/Benzoyl Perox",1,Overall,,,,,,,,,,,,,"$392,760.62","41,050",819,$9.57,$479.56,0,"$137,151.12","$13,850.00",276,$9.90,$496.92,0,"$134,852.85","13,350",267,$10.10,$505.07,1,3.50%,2.75%
Acanya,"Clindamycin Phos/Benzoyl Perox",1,Valeant/Bausch,,,,,,,,,,,,,"$392,760.62","41,050",819,$9.57,$479.56,0,"$137,151.12","$13,850.00",276,$9.90,$496.92,0,"$134,852.85","13,350",267,$10.10,$505.07,1,2.01%,2.75%
Acarbose,Acarbose,6,Overall,"$2,636,716.60","4,692,560.091","53,012",$0.56,$49.74,0,"$1,991,479.24","5,454,610.25","60,769",$0.37,$32.77,0,"$1,531,250.86","5,682,793","62,236",$0.27,$24.60,0,"$1,665,368.44","$5,704,939.20","61,239",$0.29,$27.19,0,"$1,381,181.37","5,537,905","56,848",$0.25,$24.30,0,8.69%,-18.37%
Acarbose,Acarbose,1,"Alvogen Inc","$651,644.81","585,941","6,423",$1.11,$101.45,0,"$386,819.19","1,102,448","12,177",$0.35,$31.77,0,"$223,132.64","987,487","11,080",$0.23,$20.14,0,"$147,404.66","$544,143.00","6,112",$0.27,$24.12,0,"$28,129.47","138,928","1,620",$0.20,$17.36,0,-25.43%,-34.61%
Acarbose,Acarbose,1,"Heritage Pharma","$61,131.47","154,139","1,814",$0.40,$33.70,0,"$15,103.19","40,688",481,$0.37,$31.40,0,"$5,398.19","21,035",242,$0.26,$22.31,1,"$2,704.88","$11,226.00",141,$0.24,$19.18,1,"$1,566.93","6,300",75,$0.25,$20.89,1,5.29%,-10.71%
Acarbose,Acarbose,1,"Virtus Pharmace","$563,235.02","1,402,944","15,601",$0.40,$36.10,0,"$914,743.19","2,469,781","27,175",$0.37,$33.66,0,"$750,948.20","2,560,172","27,376",$0.29,$27.43,0,"$306,732.14","$1,038,273.00","10,692",$0.30,$28.69,0,"$229,836.97","902,862","8,503",$0.25,$27.03,0,-14.08%,-10.83%
Acarbose,Acarbose,1,Actavis/Teva,,,,,,,,,,,,,"$16,258.84","83,786",974,$0.19,$16.69,1,"$3,563.67","$12,630.00",142,$0.28,$25.10,1,$927.11,"2,400",60,$0.40,$15.45,1,40.58%,43.43%
Acarbose,Acarbose,1,Roxane/West-War,"$1,052,009.47","1,765,890.091","20,793",$0.60,$50.59,0,"$190,608.24","523,864.5","6,284",$0.36,$30.33,0,"$72,477.21","360,940","4,220",$0.20,$17.17,0,"$409,432.34","$1,375,515.00","14,952",$0.30,$27.38,0,"$588,434.95","2,370,614.5","24,638",$0.25,$23.88,0,-16.48%,-19.64%
Acarbose,Acarbose,1,"Strides Pharma","$308,695.83","783,646","8,381",$0.39,$36.83,0,"$484,205.43","1,317,828.75","14,652",$0.37,$33.05,0,"$463,035.78","1,669,373","18,344",$0.28,$25.24,0,"$795,530.75","$2,723,152.20","29,200",$0.29,$27.24,0,"$532,285.94","2,116,800.5","21,952",$0.25,$24.25,0,-13.90%,-10.57%
Accolate,Zafirlukast,1,Overall,"$274,048.75","71,977","1,265",$3.81,$216.64,0,"$80,400.44","21,568",366,$3.73,$219.67,0,"$27,566.37","8,343",137,$3.30,$201.21,0,"$21,968.33","$6,365.00",96,$3.45,$228.84,0,"$14,021.83","4,206",64,$3.34,$219.09,1,4.54%,-3.23%
Accolate,Zafirlukast,1,"Par Pharmaceuti","$274,048.75","71,977","1,265",$3.81,$216.64,0,"$80,400.44","21,568",366,$3.73,$219.67,0,"$27,566.37","8,343",137,$3.30,$201.21,0,"$21,968.33","$6,365.00",96,$3.45,$228.84,0,"$14,021.83","4,206",64,$3.34,$219.09,1,-3.36%,-3.23%
Accuneb,"Albuterol Sulfate",1,Overall,$184.38,124.568,30,$1.59,$6.15,1,$1.64,141.99,30,$0.01,$0.05,1,$223.09,204.03,40,$1.63,$5.58,1,,,,,,,$69.24,80.954,28,$0.86,$2.47,1,,-14.31%
Accuneb,"Albuterol Sulfate",1,"Mylan Specialty",$184.38,124.568,30,$1.59,$6.15,1,$1.64,141.99,30,$0.01,$0.05,1,$223.09,204.03,40,$1.63,$5.58,1,,,,,,,$69.24,80.954,28,$0.86,$2.47,1,,-14.31%
Accupril,"Quinapril HCl",1,Overall,"$17,088.32","4,894",123,$3.49,$138.93,1,"$17,463.94","4,099",113,$4.22,$154.55,1,"$14,942.02","3,700",104,$3.97,$143.67,1,"$13,068.04","$2,790.00",72,$4.69,$181.50,1,"$8,696.38","1,936",57,$4.61,$152.57,1,18.11%,7.17%
Accupril,"Quinapril HCl",1,"Pfizer US Pharm","$17,088.32","4,894",123,$3.49,$138.93,1,"$17,463.94","4,099",113,$4.22,$154.55,1,"$14,942.02","3,700",104,$3.97,$143.67,1,"$13,068.04","$2,790.00",72,$4.69,$181.50,1,"$8,696.38","1,936",57,$4.61,$152.57,1,-1.81%,7.17%
